Feature Area,Feature,User Story,Expected Behavior,Source Evidence,Code Owner / Main Files,Test Method,Automated Proof,Computer/UI Proof,Manual Proof Needed,Status,Errors Found,Fix PR / Commit,Retest Result,Notes
Meetings,Meeting permission preflight,"As a user, I want missing meeting permissions explained before recording starts.",Start gate blocks missing microphone or system-audio recording permission with user-facing recovery copy before capture starts.,Sources/Meeting/MeetingRecordingStartGate.swift; Sources/Support/TranscriptedPermissionAccess.swift,Sources/Meeting/; Sources/Support/,run-tests.sh MeetingRecordingStartGateTests TranscriptedPermissionAccessTests; qa-bench full,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: fresh permission-state probe qa-20260621-202408 showed host Accessibility/Event Posting/Input Monitoring/Screen Recording/Microphone ready, Transcripted bundle id matched, and app system-audio cache was granted; UI smoke qa-20260621-202731 showed onboarding microphone/system-audio permission controls visible. Automation/System Events warning remains tracked on row 79.",Real TCC permission dialogs/status,PASS,None from automated proof; manual gaps remain where noted,,PASS: current-grant permission status and onboarding permission UI rechecked 2026-06-21; deny/regrant/revoke stays separate on row 79.,TCC denial/revoke remains UNKNOWN on row 79; no private app/user/device details recorded.
Meetings,Start and stop live meeting recording,"As a user, I want to record mic plus system audio and save a meeting transcript.","Start waits for mic and system-audio readiness; stop gets scratch files, queues transcription, saves Markdown, retains audio, and returns UI to idle/transcribing states.",Sources/Meeting/MeetingSessionController.swift; Sources/Meeting/MeetingCaptureBridge.swift; Sources/TranscriptedCore/Audio/Audio.swift,Sources/Meeting/; Sources/TranscriptedCore/Audio/,build-deps.sh --force; build.sh; run-tests.sh; run-integration-smoke.sh; qa-bench full,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: direct bash run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests on 2026-06-21; real mic plus system-audio capture started/stopped and wrote scratch files on this Mac. Fresh live bench qa-20260621-202408 also passed build/tests but skipped live smoke after a System Events Automation warning.,Real mic + system audio live capture,PASS,None from automated proof; manual gaps remain where noted,,PASS: direct live mic/system-audio capture smoke passed after the live bench preflight warning; saved artifact contracts covered by qa-20260621-202408 E2E/integration checks.,"This proves local capture start/stop and scratch audio, not Zoom/Meet volume or Bluetooth route churn."
Meetings,Cancel/discard recording,"As a user, I want discard to be explicit because it deletes captured audio.","Cancel is confirmed, stops capture, deletes scratch audio, and does not enqueue transcription.",Sources/Meeting/MeetingSessionController.swift; Sources/Meeting/MeetingRecordingCleanup.swift; Sources/Meeting/CLAUDE.md,Sources/Meeting/,run-tests.sh MeetingRecordingCleanupTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real cancel/discard overlay confirmation needs a human-driven live meeting UI scenario; deterministic cleanup policy already passed.,Real overlay discard confirmation,BLOCKED,No product failure found in available proof; blocked proof: real cancel/discard overlay confirmation needs a human-driven live meeting UI scenario; deterministic cleanup policy already passed.,,BLOCKED: real cancel/discard overlay confirmation needs a human-driven live meeting UI scenario; deterministic cleanup policy already passed.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Queued transcription state,"As a user, I want background meeting work to be visible until saving is done.","Single-flight queue shows recording/transcribing/saving state when appropriate, and speaker review alone does not keep active work visible.",Sources/Meeting/MeetingSessionUIPolicy.swift; Sources/TranscriptedCore/Pipeline/TranscriptionTaskManager.swift,Sources/Meeting/; Sources/TranscriptedCore/Pipeline/,run-tests.sh MeetingSessionUIPolicyTests; run-integration-smoke.sh,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real long transcription UI,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Imported audio transcription,"As a user, I want existing recordings to become the same kind of saved meeting as live captures.","Imported audio is copied into scratch, prepared as a meeting input, runs through the normal save/restyle/stats/speaker pipeline, and preserves retry behavior.",Sources/Meeting/MeetingImportedAudioPreparer.swift; Sources/Meeting/MeetingSessionController.swift; Sources/TranscriptedCore/Pipeline/TranscriptionTaskManager.swift,Sources/Meeting/; Sources/TranscriptedCore/,MeetingImportedAudioPreparerTests; transcripted-qa imported-audio-smoke; transcripted-qa imported-audio-native-smoke; run-integration-smoke.sh; qa-bench full,"PASS: MeetingImportedAudioPreparerTests passed 58/58 and proves app-owned scratch copy, source-file preservation, metadata/date policy, unsupported-input errors, and copied-audio preparation; full QA bench qa-20260621-152351 also passed build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan; PASS: transcripted-qa imported-audio-smoke passed 11/11 on 2026-06-22 and proves deterministic imported meeting artifact shape, system_audio-only source metadata, retained single-file audio, parser discovery, and TranscriptedQA transcript validation.","PASS: qa-bench imported-audio-native passed 3/3 at /tmp/transcripted-qa-bench/qa-20260624-055644/qa-report.md; raw transcripted-qa imported-audio-native-smoke also passed 16/16 on 2026-06-24. Native Settings General import action opened NSOpenPanel, selected generated spoken AIFF, saved 2026-06-24 Native Imported Audio Proof.md, retained recording.aiff, recorded sources [system_audio], and TranscriptedQA validated the saved imported transcript. Raw report: /tmp/transcripted-imported-audio-native-smoke.json.","Optional broader manual sweep with arbitrary user media containers remains useful, but real selected-audio import through the native picker is now proven by transcripted-qa imported-audio-native-smoke on this Mac.",PASS,Initial blockers were stale Transcripted instance from another worktree and invalid say data-format flag in the new harness; stale instance was terminated and harness fixture generation was fixed. No product failure found.,,"PASS: qa-bench imported-audio-native passed 3/3 at /tmp/transcripted-qa-bench/qa-20260624-055644/qa-report.md; raw transcripted-qa imported-audio-native-smoke also passed 16/16 on 2026-06-24. Native Settings General import action opened NSOpenPanel, selected generated spoken AIFF, saved 2026-06-24 Native Imported Audio Proof.md, retained recording.aiff, recorded sources [system_audio], and TranscriptedQA validated the saved imported transcript. Raw report: /tmp/transcripted-imported-audio-native-smoke.json.",2026-06-24: Added and ran TranscriptedQA imported-audio-native-smoke plus qa-bench --mode imported-audio-native. This closes the native picker selected-audio proof gap without overclaiming arbitrary private media quality.
Meetings,Retained meeting audio,"As a user, I want audio retained for review and retry according to my settings.","Successful and failed owned recordings are copied to retained audio folders, compressed to M4A after safe ownership checks, and pruned only by the selected retention window.",docs/storage-paths.md; Sources/Meeting/MeetingAudioStorageManager.swift; Sources/TranscriptedCore/Storage/RecordingAudioArchiver.swift,Sources/Meeting/; Sources/TranscriptedCore/Storage/,run-tests.sh MeetingAudioStorageManagerTests; swift test RecordingAudioArchiverTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real playback from retained audio,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Meeting transcript Markdown,"As a user, I want saved meetings as readable, agent-friendly Markdown.","Transcript save writes frontmatter, timestamps, speaker labels, recording-health metadata, and restyled title/filename without dropping parseable content.",README.md; Sources/TranscriptedCore/Storage/TranscriptSaver.swift; Sources/Meeting/MeetingTranscriptStyler.swift,Sources/TranscriptedCore/Storage/; Sources/Meeting/,run-e2e-smoke.sh; run-tests.sh MeetingTranscriptStylerTests; swift test TranscriptFrontmatterTests TranscriptMetadataBuilderTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real saved meeting from app capture,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Failure and retry,"As a user, I want a failed meeting to keep recoverable audio and tell me whether retry can work.","Failures classify stage/kind, preserve retained artifacts when available, store retry queue state, and provide privacy-safe explanation/copy.",Sources/Meeting/MeetingFailureKind.swift; Sources/Meeting/MeetingFailureExplanation.swift; Sources/TranscriptedCore/Services/FailedTranscriptionManager.swift,Sources/Meeting/; Sources/TranscriptedCore/Services/,run-tests.sh MeetingFailureKindTests MeetingFailureExplanationTests; swift test FailedTranscriptionManagerTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real failed-transcription retry from app UI,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Quiet mic and mic boost prompt,"As a meeting user, I want quiet input detected and fixed only with consent.","In-meeting boost prompt appears only while active/stale-safe; mic processing can use software AGC by default, raw/off, or Apple voice processing by preference.",Sources/Meeting/MeetingMicBoostPromptPolicy.swift; Sources/Support/MicrophoneProcessingPreferences.swift; Sources/TranscriptedCore/Audio/RealtimeAGC.swift,Sources/Meeting/; Sources/Support/; Sources/TranscriptedCore/Audio/,run-tests.sh MeetingMicBoostPromptPolicyTests MicrophoneProcessingPreferencesTests; swift test RealtimeAGCTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac | BLOCKED: real calendar/meeting-app/browser/media behavior requires live third-party app state and manual observation; synthetic prompt policy already passed where applicable.,Real quiet mic/WebRTC behavior,BLOCKED,No product failure found in available proof; blocked proof: real calendar/meeting-app/browser/media behavior requires live third-party app state and manual observation; synthetic prompt policy already passed where applicable.,,BLOCKED: real calendar/meeting-app/browser/media behavior requires live third-party app state and manual observation; synthetic prompt policy already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Audio inactivity warning,"As a user, I want Transcripted to warn me when a meeting appears silent for too long.",Inactivity detector emits warning and cleared events from mic/system levels so the UI can ask if recording should continue.,Sources/Meeting/MeetingAudioInactivityDetector.swift; Sources/Meeting/MeetingCaptureBridge+LivePreview.swift,Sources/Meeting/,run-tests.sh MeetingAudioInactivityDetectorTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real live levels in a quiet meeting,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Audio route recovery,"As a user, I want capture to survive device changes or fail clearly.","Meeting audio and dictation input selection avoid unsafe Bluetooth routes where possible, detect route issues, and produce recoverable diagnostics.",Sources/TranscriptedCore/Audio/AudioDeviceRecovery.swift; Sources/TranscriptedCore/Audio/MeetingInputDeviceSelectionPolicy.swift; Sources/Speech/DictationInputDeviceSelectionPolicy.swift,Sources/TranscriptedCore/Audio/; Sources/Speech/,swift test BluetoothMeetingRouteContractTests; run-tests.sh BluetoothRouteContractTests MeetingRouteFixtureTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PASS: run-live-capture-smoke.sh --skip-build passed LiveCaptureSmokeTests; real mic + system-audio capture started/stopped and wrote scratch files on this Mac | BLOCKED: real hardware route churn requires connected devices and human-observed audio behavior; synthetic route contracts are not hardware proof.,Real Bluetooth/AirPods/USB/monitor route churn,BLOCKED,No product failure found in available proof; blocked proof: real hardware route churn requires connected devices and human-observed audio behavior; synthetic route contracts are not hardware proof.,,BLOCKED: real hardware route churn requires connected devices and human-observed audio behavior; synthetic route contracts are not hardware proof.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Meetings,Live meeting sidecar,"As an advanced user, I want an opt-in live transcript workspace for agents while recording.","When enabled, sidecar writes provisional local files and tokenized loopback preview during recording without replacing final saved meeting Markdown.",docs/storage-paths.md; Sources/Meeting/LiveMeetingCodexSession.swift; Sources/Meeting/LiveMeetingPreviewServer.swift; Sources/Meeting/LiveMeetingTranscriber.swift,Sources/Meeting/; Sources/Support/LiveMeetingCodexPreferences.swift,run-tests.sh LiveMeetingCodexSessionTests LiveMeetingPreviewServerTests LiveMeetingStreamingUpdatePolicyTests LiveMeetingTranscriptFeedTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Real live sidecar during active recording,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Speaker Names,Default speaker safety,"As a user, I want unknown speakers to stay generic rather than wrong.","Unknown, tentative, immature, ambiguous, or disputed matches stay generic; mature high-confidence known speakers can apply.",Sources/TranscriptedCore/Speaker/SpeakerNamingPolicy.swift; Sources/TranscriptedCore/Speaker/SpeakerMatchingService.swift,Sources/TranscriptedCore/Speaker/,run-tests.sh SpeakerNamingPolicyTests; swift test SpeakerMatchingServiceTests SpeakerEmbeddingMatcherTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,Real multi-speaker audio identity quality,BLOCKED,No product failure found in available proof; blocked proof: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,,BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Speaker Names,Post-meeting speaker review,"As a user, I want to name speakers after a meeting and update the transcript.","Review sheet separates people in the room from remote participants, supports name autocomplete, and writes names into YAML and transcript labels.",Sources/UI/Settings/SpeakerNamingSheet.swift; Sources/UI/Settings/SpeakerNameAutocompleteField.swift; Sources/TranscriptedCore/Speaker/SpeakerNamingCoordinator.swift,Sources/UI/Settings/; Sources/TranscriptedCore/Speaker/,run-tests.sh SpeakerNameSelectionPolicyTests SpeakerPeopleReviewPolicyTests; swift test SpeakerNamingCoordinatorTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes | BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.",Full review sheet UI and audio clip playback,BLOCKED,No product failure found in available proof; blocked proof: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,,BLOCKED: real meeting UI/audio workflow needs a human-driven live app scenario; deterministic capture/storage/policy proof already passed where applicable.,Do not record real speaker names in sheet. Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Speaker Names,Keep local mic as You,"As a user, I want local room speaker splitting to be optional and reversible.",Default local mic is You; opt-in local speaker split can be collapsed back to You through review UI.,Sources/Support/LocalSpeakerPreferences.swift; Sources/UI/Settings/SpeakerNamingSheet.swift; Sources/Meeting/MeetingSessionController.swift,Sources/Support/; Sources/UI/Settings/; Sources/Meeting/,run-tests.sh LocalSpeakerPreferencesTests SpeakerPeopleReviewPolicyTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,Real review UI behavior,BLOCKED,No product failure found in available proof; blocked proof: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,,BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Speaker Names,People settings manage speakers,"As a user, I want to review, rename, merge, delete, and search voice profiles.","People settings shows one row per distinct voice, duplicate suggestions, all-speaker list, clip playback, rename/merge/delete actions, and shared name matching policy.",Sources/UI/Settings/SpeakerPeopleSettingsSection.swift; Sources/UI/Settings/SpeakerVoiceRowPresentation.swift; Sources/TranscriptedCore/Speaker/SpeakerProfileMerger.swift,Sources/UI/Settings/; Sources/TranscriptedCore/Speaker/,run-tests.sh SpeakerVoiceRowPresentationTests SpeakerReviewQueueScannerTests; swift test SpeakerProfileMergerTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes | BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.",Real People page UI and persisted DB changes,BLOCKED,No product failure found in available proof; blocked proof: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,,BLOCKED: real speaker review/naming quality needs live multi-speaker audio or manual UI review; deterministic speaker policy/database proof already passed where applicable.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Speaker Names,Retroactive speaker updates,"As a user, I want corrected names to update older Transcripted-owned transcripts safely.",Retroactive updater updates owned transcript surfaces without touching unrelated files or leaking identities off-device.,Sources/TranscriptedCore/Speaker/RetroactiveSpeakerUpdater.swift; Sources/TranscriptedCore/Storage/TranscriptScanner.swift,Sources/TranscriptedCore/Speaker/; Sources/TranscriptedCore/Storage/,swift test RetroactiveSpeakerUpdaterTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real retroactive speaker update flow needs existing saved transcripts plus manual People/Speaker UI review; deterministic updater proof already passed.,Real old-transcript update flow from UI,BLOCKED,No product failure found in available proof; blocked proof: real retroactive speaker update flow needs existing saved transcripts plus manual People/Speaker UI review; deterministic updater proof already passed.,,BLOCKED: real retroactive speaker update flow needs existing saved transcripts plus manual People/Speaker UI review; deterministic updater proof already passed.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Local Summary,Opt-in local meeting summaries,"As a user, I want optional local AI summaries on saved meeting transcripts.","Beta summary actions are opt-in, blocked during active capture/model prep/background work/review, use local provider metadata, re-read before writing, and fail closed on stale transcripts.",Sources/Meeting/LocalMeetingSummarizer.swift; Sources/UI/Settings/HomeMeetingSummaryBetaPresentationPolicy.swift; Sources/Support/LocalMeetingSummaryPreferences.swift,Sources/Meeting/; Sources/UI/Settings/; Sources/Support/,run-tests.sh LocalMeetingSummarizerTests HomeMeetingSummaryBetaPresentationPolicyTests LocalMeetingSummaryPreferencesTests; run-local-summary-fixture if available,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",PARTIAL: local summary fixture smoke passed in qa-20260621-202408 and generated deterministic summary fixtures; Gemma autoeval selected a candidate but was dry-run only because local mlx/mlx-vlm runtime is not installed in this Python environment. | BLOCKED: missing local MLX runtime/model execution path on this machine; deterministic fixture passed but real Gemma/Apple summary generation cannot be proven here yet.,Real Gemma/Apple summary runtime on local model,BLOCKED,No product failure found in available proof; blocked proof: missing local MLX runtime/model execution path on this machine; deterministic fixture passed but real Gemma/Apple summary generation cannot be proven here yet.,,BLOCKED: missing local MLX runtime/model execution path on this machine; deterministic fixture passed but real Gemma/Apple summary generation cannot be proven here yet.,"python3 import check: mlx=False, mlx_vlm=False, huggingface_hub=True. No transcript text recorded. Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof."
Settings,General preferences,"As a user, I want core app behavior controlled from Settings.","General controls persist Dock visibility, launch at login, call detection, overlay presentation, filler cleanup, shortcut mode, mic processing, quit confirmation, and model choice.",Sources/UI/Settings/TranscriptedSettingsGeneralControls.swift; Sources/Support/*.swift,Sources/UI/Settings/; Sources/Support/,run-tests.sh preferences tests; qa-bench ui,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Visual settings toggles and persistence after relaunch,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,
Settings,Storage relocation,"As a user, I want to move my capture library without moving app state/logs/temp files.","Capture library preference changes meetings/dictations root; state, cache, logs, tmp remain under app support; Home refreshes after artifact changes.",docs/storage-paths.md; Sources/Support/TranscriptedStoragePaths.swift; Sources/Dictation/DictationStoragePaths.swift; Sources/Meeting/MeetingStoragePaths.swift,Sources/Support/; Sources/Dictation/; Sources/Meeting/,run-tests.sh TranscriptedStoragePathsTests DictationTranscriptStoreTests; swift test CoreStoragePathsTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes | BLOCKED: native picker and real media selection require direct UI/native-panel proof; deterministic command routing and preparer policy already passed.",Real folder picker and migration/relocation UX,BLOCKED,No product failure found in available proof; blocked proof: native picker and real media selection require direct UI/native-panel proof; deterministic command routing and preparer policy already passed.,,BLOCKED: native picker and real media selection require direct UI/native-panel proof; deterministic command routing and preparer policy already passed.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Settings,Retained audio cleanup preference,"As a user, I want to choose whether meeting audio is kept for 7 days, 30 days, or never.",Preference persists; destructive cleanup asks/acts conservatively and never deletes Markdown transcripts or unrelated audio.,docs/storage-paths.md; Sources/Support/AudioStoragePreferences.swift; Sources/Meeting/MeetingAudioStorageManager.swift,Sources/Support/; Sources/Meeting/,run-tests.sh AudioStoragePreferencesTests MeetingAudioStorageManagerTests,"PASS: AudioStoragePreferencesTests passed 3/3 and MeetingAudioStorageManagerTests passed 116/116; covered default compressed retention, delete-after persistence/fallback, conversion, usable M4A validation, playback mix creation, unrelated-file ignores, managed-file pruning, never-window behavior, backfill, failed-audio compression/promotion, and symlink escape safety","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Settings confirmation for destructive option remains useful manual UX check; deterministic retention and cleanup behavior passed,PASS,None found in focused proof,,RETEST PASS: bash run-tests.sh --filter testAudioStoragePreferences; bash run-tests.sh --filter testMeetingAudioStorageManager,Shares proof with retained-audio retention boundary row.
